#z (nm),TMC1 LJ (kJ/mol),TMC1 Coul (kJ/mol),TCq1 LJ (kJ/mol),TCq1 Coul (kJ/mol),TMC2 LJ (kJ/mol),TMC2 Coul (kJ/mol),TCq2 LJ (kJ/mol),TCq2 Coul (kJ/mol),TMC3 LJ (kJ/mol),TMC3 Coul (kJ/mol),MPD1 LJ (kJ/mol),MPD1 Coul (kJ/mol),MPD2 LJ (kJ/mol),MPD2 Coul (kJ/mol),SOL LJ (kJ/mol),SOL Coul (kJ/mol),SOD LJ (kJ/mol),SOD Coul (kJ/mol)
-2.8,0.0,0.0,-0.133,-0.579,4.577,-22.751,-0.157,2.059,-1.826,-0.28,-0.204,-1.013,-3.494,-4.51,11.943,-98.525,0.709,-9.162
-2.7,0.0,0.0,-0.087,-0.643,0.426,-5.472,-0.313,-1.724,-1.887,-3.053,-0.304,-1.112,-3.067,-4.544,14.225,-105.679,0.943,-9.365
-2.6,0.0,0.0,0.045,-1.033,-0.392,-1.185,-0.345,0.056,-2.014,-0.75,-0.382,-0.865,-3.203,-6.382,15.137,-109.725,1.226,-14.946
-2.5,0.0,0.0,-0.148,-0.139,-0.403,-0.922,-0.245,0.926,-1.969,1.486,-0.366,-1.256,-3.468,-10.813,14.676,-108.989,1.156,-15.848
-2.4,0.0,0.0,-0.1,0.124,-0.276,-0.781,-0.397,-0.182,-1.874,-0.609,-0.237,-0.861,-2.843,-10.478,13.307,-104.639,1.805,-19.633
-2.3,0.0,0.0,-0.062,-0.067,-0.192,-1.286,-0.506,0.302,-1.641,-1.525,-0.161,-0.664,-2.814,-8.305,13.448,-109.692,1.613,-17.028
-2.2,0.0,0.0,-0.041,-0.905,-0.156,-0.785,-0.413,-1.3,-1.945,-2.617,-0.308,-0.544,-2.473,-12.742,13.066,-106.297,0.982,-7.806
-2.1,0.0,0.0,-0.008,-1.075,-0.149,-0.942,-0.342,-3.011,-2.097,-5.564,-0.15,-0.383,-3.28,-10.03,14.404,-109.903,0.483,-2.317
-2.0,0.0,0.0,-0.029,-0.588,-0.079,-2.15,-0.342,-1.68,-2.243,-3.716,-0.08,-0.197,-3.134,-8.697,14.322,-113.792,0.591,-5.81
-1.9,0.0,0.0,-0.03,-0.262,0.015,-2.617,-0.533,-1.562,-1.883,-2.322,-0.057,-0.349,-3.085,-6.851,13.9,-115.028,0.697,-7.096
-1.8,0.0,0.0,-0.073,-0.612,-0.134,-1.744,-0.255,-0.285,-2.029,-3.152,-0.204,-0.328,-2.711,-5.306,14.335,-114.532,1.34,-13.011
-1.7,0.0,0.0,-0.111,-0.983,-0.193,-1.584,-0.136,0.337,-2.106,-3.984,-0.303,-0.79,-3.06,-4.242,14.608,-114.102,1.104,-11.948
-1.6,0.0,0.0,-0.086,-0.702,-0.082,-1.372,-0.279,-0.115,-1.989,-4.349,-0.498,-1.361,-2.861,-5.648,14.772,-113.472,0.765,-7.11
