#z (nm),TMC1 LJ (kJ/mol),TMC1 Coul (kJ/mol),TCq1 LJ (kJ/mol),TCq1 Coul (kJ/mol),TMC2 LJ (kJ/mol),TMC2 Coul (kJ/mol),TCq2 LJ (kJ/mol),TCq2 Coul (kJ/mol),TMC3 LJ (kJ/mol),TMC3 Coul (kJ/mol),MPD1 LJ (kJ/mol),MPD1 Coul (kJ/mol),MPD2 LJ (kJ/mol),MPD2 Coul (kJ/mol),SOL LJ (kJ/mol),SOL Coul (kJ/mol),SOD LJ (kJ/mol),SOD Coul (kJ/mol)
4.6,0.012,-13.933,0.92,90.355,0.122,-57.112,0.0,0.0,0.747,-77.074,-0.034,-7.873,-1.987,68.661,54.586,-859.802,-0.002,-88.688
4.7,0.001,-12.485,1.781,65.801,-0.006,-54.76,0.0,0.0,0.605,-169.31,0.212,-1.06,-1.853,158.934,54.095,-830.602,-0.002,-104.838
4.8,-0.013,-11.357,1.375,106.601,-0.009,-70.843,0.0,0.0,0.094,-243.282,0.044,8.592,-1.656,260.702,55.246,-863.489,-0.002,-123.889
4.9,0.015,-12.415,0.295,160.906,0.173,-86.504,0.0,0.0,0.168,-325.282,0.003,17.418,-1.477,362.496,56.456,-923.39,-0.001,-134.626
5.0,0.042,-14.206,0.71,157.208,0.153,-105.58,0.0,0.0,1.024,-401.024,-0.009,28.111,-2.122,428.176,53.669,-890.281,-0.0,-143.148
5.1,0.013,-15.057,1.018,148.078,0.146,-117.303,0.0,0.0,0.386,-462.51,-0.061,39.341,-1.743,515.753,54.307,-894.625,-0.0,-150.873
5.2,-0.003,-16.428,0.775,155.697,0.402,-128.789,0.0,0.0,0.159,-532.525,-0.08,50.199,-1.143,608.779,55.572,-930.174,-0.0,-149.146
5.3,-0.002,-17.618,0.188,175.89,0.323,-139.536,0.0,0.0,0.34,-608.722,-0.058,57.139,-1.19,677.594,55.973,-940.79,-0.0,-146.042
5.4,-0.005,-17.154,0.11,177.814,0.005,-145.074,0.0,0.0,0.099,-698.718,-0.006,65.12,-0.842,773.08,56.281,-945.433,-0.0,-152.86
5.5,-0.005,-15.468,0.191,179.637,-0.004,-157.482,0.0,0.0,-0.045,-796.111,0.038,74.702,-0.481,893.331,55.644,-959.171,-0.0,-154.5
5.6,-0.004,-15.054,0.531,175.094,0.065,-169.723,0.0,0.0,-0.038,-885.992,0.009,84.539,-0.283,1001.406,54.407,-961.848,-0.0,-159.688
5.7,-0.0,-16.481,0.422,186.196,-0.034,-180.886,0.0,0.0,-0.003,-968.07,-0.0,91.158,-0.198,1084.623,55.568,-968.883,-0.0,-161.227
5.8,0.0,-17.084,0.312,199.633,-0.017,-191.239,0.0,0.0,-0.012,-1044.344,-0.014,95.994,-0.152,1159.79,55.955,-991.447,-0.0,-154.398
5.9,-0.019,-15.462,0.284,206.442,0.051,-198.257,0.0,0.0,-0.012,-1110.963,-0.015,100.997,-0.134,1228.711,56.515,-1003.738,-0.0,-154.163
6.0,-0.015,-14.899,0.275,214.404,-0.04,-207.075,0.0,0.0,-0.009,-1173.984,-0.005,108.484,-0.078,1298.108,56.455,-1010.149,-0.0,-158.957
6.1,-0.005,-15.856,0.132,229.427,-0.038,-223.225,0.0,0.0,-0.003,-1245.913,-0.003,117.944,-0.036,1376.732,56.303,-1010.459,-0.0,-164.992
6.2,-0.0,-17.065,0.029,246.736,-0.009,-238.956,0.0,0.0,-0.001,-1323.705,0.0,128.26,-0.011,1458.432,55.796,-1018.955,-0.0,-170.229
6.3,-0.0,-18.06,0.024,257.81,-0.007,-250.382,0.0,0.0,-0.001,-1389.417,-0.005,136.533,-0.004,1531.816,55.798,-1029.414,-0.0,-173.715
6.4,-0.0,-18.921,-0.0,261.157,-0.003,-260.197,0.0,0.0,-0.001,-1445.443,-0.011,141.451,-0.001,1594.257,55.911,-1041.022,-0.0,-170.192
6.5,-0.0,-19.004,-0.0,259.838,-0.002,-269.911,0.0,0.0,-0.0,-1496.844,-0.008,145.204,-0.0,1651.955,56.278,-1050.842,-0.0,-162.404
6.6,-0.0,-18.105,-0.0,261.021,-0.001,-278.963,0.0,0.0,-0.0,-1554.269,-0.003,150.472,-0.0,1711.801,56.097,-1044.995,-0.0,-166.429
6.7,-0.0,-17.585,-0.0,267.985,-0.001,-287.285,0.0,0.0,-0.0,-1615.622,-0.004,156.989,-0.0,1773.357,55.425,-1022.58,-0.0,-185.833
6.8,-0.0,-17.988,-0.0,276.943,-0.001,-293.144,0.0,0.0,-0.0,-1662.71,-0.009,161.155,-0.0,1825.755,55.553,-1013.185,-0.0,-210.883
6.9,-0.0,-18.371,-0.0,278.567,-0.001,-296.051,0.0,0.0,-0.0,-1697.197,-0.009,163.557,0.0,1869.24,56.059,-1004.425,-0.0,-237.25
7.0,-0.0,-17.992,-0.0,271.568,-0.0,-297.813,0.0,0.0,-0.0,-1757.315,-0.004,167.034,-0.0,1929.752,57.237,-998.508,-0.0,-242.158
