#zlen 18 com 14.4921    
  134TCq2    O6 2051   0.279   4.409   9.072  0.3894  0.8659 -0.1682
  136TCq2    O5 2080   1.291   0.864  10.387 -0.1618 -0.8867 -0.1349
  136TCq2    O6 2081   1.392   0.962  10.215  0.2463  0.0355  0.0388
  138TCq2    O5 2110   1.916   4.609   9.361 -0.0957  0.7841 -0.7108
  138TCq2    O6 2111   1.966   4.393   9.387  0.0295  0.2852  0.2464
  141TCq2    O5 2157   2.495   3.259  15.164 -0.1744  0.0582  0.2348
  141TCq2    O6 2158   2.543   3.192  14.954 -0.1740  0.4250  0.1211
  143TCq2    O5 2187   0.642   2.377   9.424  0.2975  0.1337  0.0940
  143TCq2    O6 2188   0.741   2.255   9.587 -0.0814 -0.1911 -0.2662
  145TCq2    O5 2217   3.952   1.407   1.065 -0.3181  0.0569  0.1089
  145TCq2    O6 2218   3.869   1.287   0.898 -0.1964  0.3000  0.0494
  149TCq2    O5 2278   0.176   3.613  10.943  0.1276  0.0403  0.5283
  149TCq2    O6 2279   0.074   3.749  11.082  0.9146 -0.4105  0.2496
  151TCq2    O5 2308   1.870   2.842  12.081 -0.4092  0.1660  0.0857
  151TCq2    O6 2309   1.958   3.040  12.129 -0.0497  0.3574  0.0193
  153TCq2    O5 2338   2.058   2.496  12.892  0.0287 -0.1934 -0.8620
  153TCq2    O6 2339   1.950   2.354  13.039 -0.2274  0.2299 -0.3147
  155TCq2    O5 2368   3.386   2.173   0.818 -0.1783 -0.1102 -0.0180
  155TCq2    O6 2369   3.519   2.015   0.738  0.8032  0.1002  0.6030
  157TCq2    O5 2398   1.751   0.224  11.664  0.3598  0.1585 -0.5350
  157TCq2    O6 2399   1.648   0.320  11.495  0.1772  0.0853  0.1274
  164TCq2    O5 2507   0.443   3.697  11.258 -0.2494 -0.3379  0.5241
  164TCq2    O6 2508   0.355   3.814  11.421 -0.0344 -0.3708  0.3135
  166TCq2    O5 2537   1.127   0.762   1.803 -0.1613 -0.6175 -0.0041
  166TCq2    O6 2538   1.343   0.767   1.740 -0.0417 -0.0663 -0.6354
    1TCq1    O513824   3.782   2.408  14.733 -0.3397  0.3094  0.2758
    1TCq1    O613825   3.616   2.280  14.806 -0.3872 -0.3289  0.2756
    5TCq2    O513886   3.608   4.573  13.931 -0.6969 -0.6937 -0.4652
    5TCq2    O613887   3.509   4.719  13.781 -0.1436  0.7516  0.9669
    1TCq1    O514050   2.140   0.104  11.686  0.0342 -0.2700  0.0796
    1TCq1    O614051   2.327   4.795  11.725 -0.0952  0.1161  0.3407
    1TCq1    O514083   0.648   2.114   1.671  0.1818 -0.2555 -0.2794
